lpar,systemphost,viohost
tst1ora03,SYD355A01-9133-55A-SN0657E1H,syd3vio01
syd3vio02,SYD355A01-9133-55A-SN0657E1H,syd3vio01
syd3vio01,SYD355A01-9133-55A-SN0657E1H,syd3vio01
tst1ora04,SYD355A01-9133-55A-SN0657E1H,syd3vio01
tst1ora01,SYD355A02-9133-55A-SN063FA5H,syd3vio11
syd3vio12,SYD355A02-9133-55A-SN063FA5H,syd3vio11
syd3vio11,SYD355A02-9133-55A-SN063FA5H,syd3vio11
uat1app36,SYD357001-9117-MMA-SN064E274,syd3vio31
uat1app33,SYD357001-9117-MMA-SN064E274,syd3vio31
uat1app32,SYD357001-9117-MMA-SN064E274,syd3vio31
uat1app23,SYD357001-9117-MMA-SN064E274,syd3vio31
uat1ora01,SYD357001-9117-MMA-SN064E274,syd3vio31
tst1ora02,SYD357001-9117-MMA-SN064E274,syd3vio31
dev1ora03,SYD357001-9117-MMA-SN064E274,syd3vio31
tst1app38,SYD357001-9117-MMA-SN064E274,syd3vio31
dev1app35,SYD357001-9117-MMA-SN064E274,syd3vio31
dev1app34,SYD357001-9117-MMA-SN064E274,syd3vio31
dev1app33,SYD357001-9117-MMA-SN064E274,syd3vio31
dev1app32,SYD357001-9117-MMA-SN064E274,syd3vio31
dev1app31,SYD357001-9117-MMA-SN064E274,syd3vio31
tst1app37,SYD357001-9117-MMA-SN064E274,syd3vio31
uat1ora02,SYD357001-9117-MMA-SN064E274,syd3vio31
uat1app61,SYD357001-9117-MMA-SN064E274,syd3vio31
tst1app36,SYD357001-9117-MMA-SN064E274,syd3vio31
dev1ora01,SYD357001-9117-MMA-SN064E274,syd3vio31
tst1app35,SYD357001-9117-MMA-SN064E274,syd3vio31
tst1app34,SYD357001-9117-MMA-SN064E274,syd3vio31
dev1ora02,SYD357001-9117-MMA-SN064E274,syd3vio31
tst1app23,SYD357001-9117-MMA-SN064E274,syd3vio31
tst1app61,SYD357001-9117-MMA-SN064E274,syd3vio31
tst1app33,SYD357001-9117-MMA-SN064E274,syd3vio31
dev1app61,SYD357001-9117-MMA-SN064E274,syd3vio31
syd3vio32,SYD357001-9117-MMA-SN064E274,syd3vio31
syd3vio31,SYD357001-9117-MMA-SN064E274,syd3vio31
tst1app32,SYD357001-9117-MMA-SN064E274,syd3vio31
dev1app23,SYD357001-9117-MMA-SN064E274,syd3vio31
cxpdev1,SYD357001-9117-MMA-SN064E274,syd3vio31
drs1tsm01,SYD357001-9117-MMA-SN064E274,syd3vio31
syd1app23,SYD157002-9117-570-SN067778F,syd1vio21
cnzprod1,SYD157002-9117-570-SN067778F,syd1vio21
cxpprod1,SYD157002-9117-570-SN067778F,syd1vio21
syd1app39,SYD157002-9117-570-SN067778F,syd1vio21
syd1app37,SYD157002-9117-570-SN067778F,syd1vio21
syd1app35,SYD157002-9117-570-SN067778F,syd1vio21
cxpprod3,SYD157002-9117-570-SN067778F,syd1vio21
syd1ora05,SYD157002-9117-570-SN067778F,syd1vio21
syd1app24,SYD157002-9117-570-SN067778F,syd1vio21
syd1app38,SYD157002-9117-570-SN067778F,syd1vio21
syd1app36,SYD157002-9117-570-SN067778F,syd1vio21
syd1app34,SYD157002-9117-570-SN067778F,syd1vio21
syd1app33,SYD157002-9117-570-SN067778F,syd1vio21
syd1app32,SYD157002-9117-570-SN067778F,syd1vio21
syd1vio22,SYD157002-9117-570-SN067778F,syd1vio21
syd1vio21,SYD157002-9117-570-SN067778F,syd1vio21
syd1app61,SYD157002-9117-570-SN067778F,syd1vio21
syd1ora03,SYD157002-9117-570-SN067778F,syd1vio21
syd1ora04,SYD157003-9117-MMA-SN064E894,syd1vio31
syd1ora02,SYD157003-9117-MMA-SN064E894,syd1vio31
syd1ora01,SYD157003-9117-MMA-SN064E894,syd1vio31
syd1vio32,SYD157003-9117-MMA-SN064E894,syd1vio31
syd1vio31,SYD157003-9117-MMA-SN064E894,syd1vio31
uat1app34,SYD157003-9117-MMA-SN064E894,syd1vio31
uat1app35,SYD157003-9117-MMA-SN064E894,syd1vio31
uat1app38,SYD157003-9117-MMA-SN064E894,syd1vio31
uat1app39,SYD157003-9117-MMA-SN064E894,syd1vio31
syd1app62,SYD157003-9117-MMA-SN064E894,syd1vio31
